176	3572	ᓯᐊᓪ
177	3571	ᑕᐃᒃᑯᓄᖓ
178	3567	ᑎᑎᖅᑲᐃᑦ
179	3563	ᐊᖏᖅᐱᓰ
180	3562	ᑕᐅᓴᓐ
181	3531	ᒥᓂᔅᑕᒧᑦ
182	3523	ᒐᕙᒪᒃᑯᖏᑦ
183	3504	ᐅᐃᓕᐊᒻᔅ
184	3498	ᐃᓕᓐᓂᐊᖅᑐᓕᕆᓂᕐᒧᑦ
185	3488	ᑕᐃᒪᐃᒻᒪᑦ
186	3459	ᐊᕐᕌᒍᑕᒫᑦ
187	3441	ᐅᕙᓂ
188	3426	ᒥᑦ
189	3404	ᐅᖃᖅᑎᑦᓯᔩ
190	3368	ᐃᔅᓯᕙᐅᑕᖅ
191	3356	ᒥᓂᔅᑕᐅᑉ
192	3344	ᓂᖏᐅᖓᓐ
193	3316	ᒫᑦᓯ
194	3306	ᐅᖃᖅᑎᑦᑎᔨ
195	3298	ᒪᑉᓴᓚᒃ
196	3275	ᑲᒪᒋᔭᓕᒃ
197	3229	ᑮᓇᐅᔭᓕᕆᓂᕐᒧᑦ
198	3190	ᒐᕙᒪᑐᖃᒃᑯᑦ
199	3172	ᓕᐅᓇ
200	3162	ᖃᐅᔨᒪᔪᖓ
201	3142	ᐃᖅᑲᓇᐃᔭᖅᑎᓄᑦ
202	3129	ᓗᐃ
203	3068	ᒪᕐᕉᒃ
204	3055	ᐃᓕᑕᖅᓯᓂᖅ
205	3034	ᒪᒃᓖᓐ
206	3028	ᓄᓇᕗᑦᒥ
207	3024	ᐊᓚᕋᓚᒃ
208	3023	ᐊᐱᖅᑯᑎᒐ
209	3010	ᑐᓪᓕᐊ
210	3000	ᒪᒥᐊᓇᖅ
211	2995	ᐊᐅᐸᓗᒃᑐᖅ
212	2993	ᓄᑕᕋᖅ
213	2990	ᐅᖃᓕᒫᖅᑕᐅᓂᖏᑦ
214	2983	ᐅᓂᒃᑳᖓᑦ
215	2981	ᑖᔅᓱᒧᖓ
216	2969	ᐱᓪᓗᒍ
217	2943	ᑎᑎᖅᑲᒃ
218	2932	ᕼᐊᕕᐅᔭᖅ
219	2921	ᐅᓛᔪᒃ
220	2904	ᓯᕗᓪᓕᖅᐹᖅ
221	2894	ᑭᖑᓪᓕᖅᐹᖅ
222	2893	ᐅᖃᓕᒫᕐᓂᖅ
223	2888	ᑭᐅᔾᔪᑎᑦ
224	2884	ᐃᓄᓐᓄᑦ
225	2881	ᐊᕐᕌᒍᒥ
226	2848	ᒥᓂᔅᑐ
227	2841	ᑲᑎᒪᔨᕋᓛᓄᑦ
228	2838	ᑲᑎᑦᑐᒋᑦ
229	2817	ᐱᖁᔭᒃᓴᖅ
230	2811	ᐊᐃᑉᐹᓂᒃ
231	2793	ᓇ
232	2777	ᐃᖅᑭᑦᑐᖅ
233	2766	ᔭᐃᒥᓯ
234	2742	ᐅᕝᕙᓗ
235	2739	ᐊᕐᕌᓂ
